form	lemma	POS	morph
༄༅།		PUNCT
		
།		PUNCT
དགེ་འདུན་	དགེ་འདུན་	NOUN
རིག་འཛིན་	རིག་འཛིན་	OTHER
འདུས་སྡེ་	འདུས་སྡེ་	OTHER
འི་	གི་	PART
བཅའ་ཡིག་	བཅའ་ཡིག་	OTHER
བླང་དོར་	བླང་དོར་	NOUN
གསལ་བ་	གསལ་བ་	VERB
འི་	གི་	PART
མེ་ལོང་	མེ་ལོང་	NOUN
ཞེ་	ཅེས་	PART
བྱ་བ་	བྱ་བ་	VERB
ཞུགས་	ཞུགས་	VERB
།		PUNCT
		
།		PUNCT
ཨོཾ་	ཨོཾ་	X
སྭསྟི་		NON_WORD
པྲ་	པྲ་	NOUN
ཛ་	ཛ་	OTHER
བྷྱ་		NON_WORD
།		PUNCT
		
བསྐལ་བཟང་	བསྐལ་བཟང་	NOUN
རྣམ་འདྲེན་	རྣམ་འདྲེན་	OTHER
མཉམ་མེད་	མཉམ་མེད་	ADJ
ཤཱཀྱའི་		NON_WORD
རྒྱལ་	རྒྱལ་	VERB
།		PUNCT
		
།		PUNCT
རྒྱལ་	རྒྱལ་	VERB
ཀུན་	ཀུན་	DET
ངོ་བོ་	ངོ་བོ་	NOUN
ཨོ་རྒྱན་	ཨོ་རྒྱན་	PROPN
མཚོ་སྐྱེས་	མཚོ་སྐྱེས་	OTHER
རྗེ་	རྗེ་	NO_POS
"།
།"		PUNCT
རྗེ་འབངས་	རྗེ་འབངས་	OTHER
རིག་འཛིན་	རིག་འཛིན་	OTHER
བཀའ་	བཀའ་	NOUN
གཏེར་	གཏེར་	NOUN
བརྒྱུད་པ་	བརྒྱུད་པ་	VERB
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
།		PUNCT
		
།		PUNCT
ཚོགས་	ཚོགས་	NOUN
གཉིས་	གཉིས་	NUM
ཞིང་	ཅིང་	PART
གྱུར་	གྱུར་	VERB
ཡོངས་	ཡོངས་	DET
ལ་	ལ་	PART
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
འདུད་	འདུད་	NO_POS
"།
།"		PUNCT
དབུ་	དབུ་	NOUN
ཟླུམ་	ཟླུམ་	NO_POS
ལྕང་ལོ་	ལྕང་ལོ་	NO_POS
མདོ་སྔགས་	མདོ་སྔགས་	NOUN
སྡེ་གཉིས་	སྡེ་གཉིས་	NO_POS
ཀྱི་	གི་	PART
།		PUNCT
		
།		PUNCT
ལྟ་བ་	ལྟ་བ་	VERB
དབུ་མ་	དབུ་མ་	PROPN
སྤྱོད་པ་	སྤྱོད་པ་	VERB
འདུལ་	འདུལ་	NO_POS
མདོ་	མདོ་	NOUN
དང་	དང་	NO_POS
།		PUNCT
		
ཟུང་འཇུག་	ཟུང་འཇུག་	NOUN
རིམ་གཉིས་	རིམ་གཉིས་	OTHER
མཐར་ཐུག་	མཐར་ཐུག་	NOUN
རྫོགས་པ་	རྫོགས་པ་	VERB
ཆེ་	ཆེ་	VERB
།		PUNCT
དེ་བཞིན་	དེ་བཞིན་	OTHER
གང་	གང་	NO_POS
ལྡན་	ལྡན་	VERB
གསང་	གསང་	VERB
ཆེན་	ཆེན་	NO_POS
སྔ་	སྔ་	ADV
འགྱུར་བ་	འགྱུར་བ་	VERB
།		PUNCT
		
།		PUNCT
ཆེས་་	ཆེས་བ་	VERB
དྲུག་	དྲུག་	NUM
ལྡན་	ལྡན་	VERB
བཀའ་	བཀའ་	NOUN
གཏེར་	གཏེར་	NOUN
དག་སྣང་	དག་སྣང་	NOUN
གི་	གི་	PART
།		PUNCT
ལམ་	གམ་	PART
ཞུགས་	ཞུགས་	VERB
རིག་པ་	རིག་པ་	VERB
འཛིན་པ་	འཛིན་པ་	VERB
འི་	གི་	PART
སྡེ་	སྡེ་	NOUN
རྣམས་	རྣམས་	DET
ཀྱིས་	གིས་	PART
།		PUNCT
		
།		PUNCT
དུས་	དུས་	NOUN
དང་	དང་	NO_POS
རྒྱུན་	རྒྱུན་	NOUN
གྱི་	གི་	PART
སྤང་བླང་	སྤང་བླང་	NOUN
བཅའ་སྒྲིག་	བཅའ་སྒྲིག་	NO_POS
གི་	གི་	PART
།		PUNCT
		
།		PUNCT
རྣམ་	རྣམ་	NOUN
བཞག་	བཞག་	VERB
ལག་	ལག་	NOUN
ཏུ་	ལ་	PART
ལེན་པ་	ལེན་པ་	VERB
འི་	གི་	PART
ཚུལ་	ཚུལ་	NOUN
འགའ་ཞིག་	འགའ་ཞིག་	OTHER
།		PUNCT
སྒྲིན་པོ་	སྒྲིན་པོ་	NO_POS
འི་	གི་	PART
བློ་	བློ་	NOUN
ཡི་	གིས་	PART
འགོད་	འགོད་	NO_POS
ལ་	ལ་	PART
དང་བ་	དང་བ་	NOUN
ས་	གིས་	PART
གསོན་	གསོན་	VERB
།		PUNCT
		
།		PUNCT
དེ་	དེ་	DET
འང་	ཀྱང་	PART
ཇི་སྐད་	ཇི་སྐད་	NO_POS
དུ་	ལ་	PART
།		PUNCT
		
མཁས་མཆོག་	མཁས་མཆོག་	NOUN
དབྱིགས་		NON_WORD
གཉེན་	གཉེན་	NOUN
གྱིས་	གིས་	PART
།		PUNCT
སྟོན་པ་	སྟོན་པ་	NOUN
འི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
རྣམ་	རྣམ་	NOUN
གཉིས་	གཉིས་	NUM
ཏེ་	སྟེ་	PART
།		PUNCT
		
།		PUNCT
ལུང་	ལུང་	NOUN
དང་	དང་	NO_POS
རྟོགས་པ་	རྟོགས་པ་	VERB
འི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
དོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
དེ་	སྟེ་	PART
འཛིན་བྱེད་པ་	འཛིན་བྱེད་པ་	OTHER
སྨྲ་བ་	སྨྲ་བ་	VERB
དང་	དང་	NO_POS
"།
།"		PUNCT
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
བྱེད་པ་	བྱེད་པ་	VERB
ཁོ་ན་	ཁོ་ན་	DET
འོ་	གོ་	PART
།		PUNCT
		
།		PUNCT
ཞེ་	ཅེས་	PART
གསུངས་པ་	གསུངས་པ་	VERB
ལྟ་	ལྟ་	OTHER
རྒྱལ་བ་	རྒྱལ་བ་	NOUN
འི་	གི་	PART
བསྟན་པ་	བསྟན་པ་	VERB
རིན་པོ་ཆེ་	རིན་པོ་ཆེ་	ADJ
ལུང་	ལུང་	NOUN
དང་	དང་	NO_POS
རྟོགས་པ་	རྟོགས་པ་	VERB
འི་	གི་	PART
བདག་ཉིད་	བདག་ཉིད་	NOUN
ཅན་	ཅན་	PART
འདི་ཉིད་	འདི་ཉིད་	OTHER
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
ན་	ལ་	PART
མི་	མི་	PART
ཉམས་	ཉམས་	NOUN
ཡུན་	ཡུན་	NOUN
དུ་	ལ་	PART
གནས་པ་	གནས་པ་	VERB
ནི་	ནི་	NO_POS
བསྟན་འཛིན་	བསྟན་འཛིན་	NOUN
དགེ་འདུན་	དགེ་འདུན་	NOUN
གྱི་	གི་	PART
སྡེ་	སྡེ་	NOUN
ལ་	ལ་	PART
རག་	རག་	VERB
ལས་ཤིང་	ལས་ཤིང་	NO_POS
།		PUNCT
